,Open water (11),Perennial ice/snow (12),"Developed, open (21)","Developed, low (22)","Developed, medium (23)","Developed, high (24)",Barren (31),Deciduous forest (41),Evergreen forest (42),Mixed forest (43),Shrubland (52),Grassland (71),Pasture (81),Crops (82),Woody wetlands (90),Emergent wetlands (95)
11NPSWRD_WQX-NCRN_ROCR_BAKE,0,0,0.345,0.253,0.04,0.001,0.003,0.245,0.002,0.103,0.001,0.001,0.005,0,0.002,0
11NPSWRD_WQX-NCRN_ROCR_BRBR,0,0,0.227,0.448,0.129,0.043,0,0.144,0,0.007,0,0,0.002,0,0,0
11NPSWRD_WQX-NCRN_ROCR_DUOA,0,0,0.169,0.231,0.198,0.113,0.003,0.268,0,0.012,0,0,0.005,0,0,0
11NPSWRD_WQX-NCRN_ROCR_EGWA,0.003,0,0.272,0.268,0.138,0.055,0.001,0.179,0,0.013,0.001,0.001,0.052,0.003,0.014,0
11NPSWRD_WQX-NCRN_ROCR_FEBR,0,0,0.162,0.449,0.209,0.156,0,0.022,0,0.003,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_ROCR_HACR,0,0,0.195,0.277,0.273,0.046,0.001,0.19,0,0.015,0,0,0.004,0,0,0
11NPSWRD_WQX-NCRN_ROCR_KLVA,0,0,0.209,0.399,0.2,0.028,0.005,0.102,0,0.044,0,0.002,0.01,0,0,0
11NPSWRD_WQX-NCRN_ROCR_LUBR,0,0,0.119,0.386,0.392,0.078,0.001,0.021,0,0,0,0,0.003,0,0,0
11NPSWRD_WQX-NCRN_ROCR_NOST,0,0,0.208,0.427,0.195,0.042,0.004,0.103,0,0.012,0,0,0.009,0,0,0
11NPSWRD_WQX-NCRN_ROCR_PHBR,0,0,0.36,0.346,0.016,0,0,0.257,0,0.02,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_ROCR_PYBR,0,0,0.079,0.197,0.588,0.112,0,0.023,0,0.001,0,0,0,0,0,0
11NPSWRD_WQX-NCRN_ROCR_ROC3,0.003,0,0.263,0.262,0.148,0.07,0.001,0.173,0,0.013,0.001,0.001,0.049,0.003,0.014,0
11NPSWRD_WQX-NCRN_ROCR_ROCR,0.004,0,0.297,0.261,0.102,0.05,0,0.182,0,0.014,0.001,0.002,0.064,0.003,0.018,0
11NPSWRD_WQX-NCRN_ROCR_SVPS,0,0,0.165,0.388,0.228,0.096,0,0.107,0,0.01,0,0,0.006,0,0,0
11NPSWRD_WQX-NCRN_WOTR_CHCK,0.002,0,0.248,0.297,0.185,0.076,0,0.128,0,0.037,0.001,0.002,0.005,0,0.02,0
11NPSWRD_WQX-NCRN_WOTR_WOTR,0.002,0,0.25,0.296,0.179,0.073,0,0.137,0,0.036,0.001,0.002,0.005,0,0.019,0
