SOL_K_growing,SOL_K_nongrowing,SOL_K_NLCD16
0.046510603,0.151117744,-0.248679281
0.046510603,0.151117744,-0.248679281
0.046510603,0.151117744,-0.248679281
0.046510603,0.151117744,-0.248679281
0.046510603,0.151117744,-0.248679281
0.046514676,0.151117744,-0.248679281
0.046514676,0.151117744,-0.248679281
0.046514676,0.151117744,-0.248679281
0.046514676,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.056208032,0.151117744,-0.248679281
0.056208032,0.151117744,-0.248679281
0.056208032,0.151117744,-0.248679281
0.056208032,0.151117744,-0.248679281
0.056321173,0.151117744,-0.248679281
0.056321173,0.147494234,-0.248679281
0.046439102,0.147494234,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.147924526,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046494184,0.178357285,-0.248679281
0.046494184,0.178357285,-0.248679281
0.046494184,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679282
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.178357285,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679284
0.046439102,0.151117744,-0.248679284
0.046439102,0.151117744,-0.248679282
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
0.046439102,0.151117744,-0.248679281
